state,year,metric,age_group,count,population,rate
AK,1988,Abortion,15-19,670.0,18622,3597.894962947052
AK,1988,Abortion,20-24,860.0,19566,4395.379740365941
AK,1988,Abortion,25-29,590.0,23353,2526.4419988866525
AK,1988,Abortion,30-34,350.0,30614,1143.2677859802704
AK,1988,Abortion,35-39,180.0,25727,699.6540599370311
AK,1988,Abortion,40+,40.0,18755,213.27645961077044
AK,1988,Birth,15-19,1036.0,18622,5563.312211362904
AK,1988,Birth,20-24,3152.0,19566,16109.577839108657
AK,1988,Birth,25-29,3562.0,23353,15252.858305142809
AK,1988,Birth,30-34,2419.0,30614,7901.613640817927
AK,1988,Birth,35-39,914.0,25727,3552.687837680258
AK,1988,Birth,40+,136.0,18755,725.1399626766196
AK,1988,Miscarriage,15-19,270.0,18622,1449.8979701428418
AK,1988,Miscarriage,20-24,720.0,19566,3679.852805887764
AK,1988,Miscarriage,25-29,770.0,23353,3297.220913801225
AK,1988,Miscarriage,30-34,520.0,30614,1698.5692820278305
AK,1988,Miscarriage,35-39,200.0,25727,777.3933999300345
AK,1988,Miscarriage,40+,30.0,18755,159.95734470807784
AK,1988,Pregnancy,15-19,1980.0,18622,10632.58511438084
AK,1988,Pregnancy,20-24,4730.0,19566,24174.588572012675
AK,1988,Pregnancy,25-29,4920.0,23353,21067.957007664965
AK,1988,Pregnancy,30-34,3280.0,30614,10714.052394329392
AK,1988,Pregnancy,35-39,1290.0,25727,5014.187429548723
AK,1988,Pregnancy,40+,210.0,18755,1119.7014129565448
AK,1992,Abortion,15-19,580.0,19322,3001.759652209916
AK,1992,Abortion,20-24,950.0,16895,5622.965374371116
AK,1992,Abortion,25-29,590.0,23317,2530.342668439336
AK,1992,Abortion,30-34,390.0,30359,1284.6272933891105
AK,1992,Abortion,35-39,220.0,29635,742.3654462628649
AK,1992,Abortion,40+,60.0,24427,245.62983583739305
AK,1992,Birth,15-19,1260.0,19322,6521.064072042232
AK,1992,Birth,20-24,3237.0,16895,19159.51464930453
AK,1992,Birth,25-29,3334.0,23317,14298.580434875841
AK,1992,Birth,30-34,2540.0,30359,8366.546987713693
AK,1992,Birth,35-39,1137.0,29635,3836.67960182217
AK,1992,Birth,40+,197.0,24427,806.4846276661071
AK,1992,Miscarriage,15-19,310.0,19322,1604.388779629438
AK,1992,Miscarriage,20-24,740.0,16895,4379.994081089079
AK,1992,Miscarriage,25-29,730.0,23317,3130.7629626452804
AK,1992,Miscarriage,30-34,550.0,30359,1811.653875292335
AK,1992,Miscarriage,35-39,250.0,29635,843.5970980259827
AK,1992,Miscarriage,40+,50.0,24427,204.69152986449419
AK,1992,Pregnancy,15-19,2150.0,19322,11127.212503881585
AK,1992,Pregnancy,20-24,4920.0,16895,29121.04172832199
AK,1992,Pregnancy,25-29,4650.0,23317,19942.53120041172
AK,1992,Pregnancy,30-34,3470.0,30359,11429.888995026187
AK,1992,Pregnancy,35-39,1600.0,29635,5399.02142736629
AK,1992,Pregnancy,40+,310.0,24427,1269.087485159864
AK,1996,Abortion,15-19,410.0,21581,1899.8192854826007
AK,1996,Abortion,20-24,830.0,17767,4671.582146676423
AK,1996,Abortion,25-29,510.0,18759,2718.695026387334
AK,1996,Abortion,30-34,330.0,28087,1174.920781856375
AK,1996,Abortion,35-39,170.0,30034,566.0251714723313
AK,1996,Abortion,40+,50.0,28529,175.26026148831014
AK,1996,Birth,15-19,1096.0,21581,5078.541309485196
AK,1996,Birth,20-24,2664.0,17767,14994.090167163842
AK,1996,Birth,25-29,2734.0,18759,14574.337651260726
AK,1996,Birth,30-34,2192.0,28087,7804.3222843308295
AK,1996,Birth,35-39,1062.0,30034,3535.9925417859763
AK,1996,Birth,40+,273.0,28529,956.9210277261734
AK,1996,Miscarriage,15-19,260.0,21581,1204.7634493304295
AK,1996,Miscarriage,20-24,620.0,17767,3489.6155794450387
AK,1996,Miscarriage,25-29,600.0,18759,3198.4647369262757
AK,1996,Miscarriage,30-34,470.0,28087,1673.3720226439277
AK,1996,Miscarriage,35-39,230.0,30034,765.7987614037424
AK,1996,Miscarriage,40+,60.0,28529,210.31231378597215
AK,1996,Pregnancy,15-19,1760.0,21581,8155.321810852139
AK,1996,Pregnancy,20-24,4110.0,17767,23132.77424438566
AK,1996,Pregnancy,25-29,3840.0,18759,20470.174316328164
AK,1996,Pregnancy,30-34,2990.0,28087,10645.494356819881
AK,1996,Pregnancy,35-39,1460.0,30034,4861.157354997669
AK,1996,Pregnancy,40+,390.0,28529,1367.0300396088192
AK,2000,Abortion,15-19,350.0,23780,1471.825063078217
AK,2000,Abortion,20-24,620.0,18825,3293.4926958831343
AK,2000,Abortion,25-29,430.0,20624,2084.9495733126455
AK,2000,Abortion,30-34,270.0,22298,1210.8709301282627
AK,2000,Abortion,35-39,160.0,27050,591.4972273567467
AK,2000,Abortion,40+,50.0,28587,174.90467695106167
AK,2000,Birth,15-19,1162.0,23780,4886.4592094196805
AK,2000,Birth,20-24,2705.0,18825,14369.189907038513
AK,2000,Birth,25-29,2712.0,20624,13149.728471683475
AK,2000,Birth,30-34,2037.0,22298,9135.348461745447
AK,2000,Birth,35-39,1059.0,27050,3914.9722735674677
AK,2000,Birth,40+,285.0,28587,996.9566586210515
AK,2000,Miscarriage,15-19,270.0,23780,1135.407905803196
AK,2000,Miscarriage,20-24,600.0,18825,3187.2509960159364
AK,2000,Miscarriage,25-29,590.0,20624,2860.744763382467
AK,2000,Miscarriage,30-34,430.0,22298,1928.424073907974
AK,2000,Miscarriage,35-39,230.0,27050,850.2772643253234
AK,2000,Miscarriage,40+,60.0,28587,209.88561234127403
AK,2000,Pregnancy,15-19,1780.0,23780,7485.281749369217
AK,2000,Pregnancy,20-24,3930.0,18825,20876.494023904383
AK,2000,Pregnancy,25-29,3730.0,20624,18085.725368502714
AK,2000,Pregnancy,30-34,2740.0,22298,12288.097587227554
AK,2000,Pregnancy,35-39,1450.0,27050,5360.443622920518
AK,2000,Pregnancy,40+,400.0,28587,1399.2374156084934
AK,2005,Abortion,15-19,410.0,26002,1576.801784478117
AK,2005,Abortion,20-24,740.0,23591,3136.7894536051886
AK,2005,Abortion,25-29,460.0,21690,2120.7929921622867
AK,2005,Abortion,30-34,260.0,21308,1220.1989862962268
AK,2005,Abortion,35-39,160.0,22382,714.8601554820838
AK,2005,Abortion,40+,80.0,26611,300.6275600315659
AK,2005,Birth,15-19,1038.0,26002,3992.0006153372815
AK,2005,Birth,20-24,3051.0,23591,12932.898139120853
AK,2005,Birth,25-29,2915.0,21690,13439.372982941448
AK,2005,Birth,30-34,2062.0,21308,9677.11657593392
AK,2005,Birth,35-39,1055.0,22382,4713.60915020999
AK,2005,Birth,40+,326.0,26611,1225.057307128631
AK,2005,Miscarriage,15-19,250.0,26002,961.4645027305592
AK,2005,Miscarriage,20-24,680.0,23591,2882.455173583146
AK,2005,Miscarriage,25-29,630.0,21690,2904.564315352697
AK,2005,Miscarriage,30-34,440.0,21308,2064.9521306551533
AK,2005,Miscarriage,35-39,230.0,22382,1027.6114735054955
AK,2005,Miscarriage,40+,70.0,26611,263.0491150276202
AK,2005,Pregnancy,15-19,1690.0,26002,6499.50003845858
AK,2005,Pregnancy,20-24,4480.0,23591,18990.29290831249
AK,2005,Pregnancy,25-29,4000.0,21690,18441.67819271554
AK,2005,Pregnancy,30-34,2770.0,21308,12999.81227707903
AK,2005,Pregnancy,35-39,1440.0,22382,6433.7413993387545
AK,2005,Pregnancy,40+,480.0,26611,1803.765360189395
AK,2006,Abortion,15-19,390.0,26323,1481.5940432321545
AK,2006,Abortion,20-24,720.0,24261,2967.72597996785
AK,2006,Abortion,25-29,480.0,22535,2130.019968937209
AK,2006,Abortion,30-34,240.0,21020,1141.7697431018078
AK,2006,Abortion,35-39,160.0,22738,703.6678687659424
AK,2006,Abortion,40+,60.0,25488,235.40489642184556
AK,2006,Birth,15-19,1101.0,26323,4182.653952816928
AK,2006,Birth,20-24,3258.0,24261,13428.96005935452
AK,2006,Birth,25-29,3068.0,22535,13614.377634790326
AK,2006,Birth,30-34,2098.0,21020,9980.970504281637
AK,2006,Birth,35-39,1170.0,22738,5145.571290350955
AK,2006,Birth,40+,293.0,25488,1149.5605775266793
AK,2006,Miscarriage,15-19,260.0,26323,987.7293621547695
AK,2006,Miscarriage,20-24,720.0,24261,2967.72597996785
AK,2006,Miscarriage,25-29,660.0,22535,2928.777457288662
AK,2006,Miscarriage,30-34,440.0,21020,2093.2445290199807
AK,2006,Miscarriage,35-39,250.0,22738,1099.481044946785
AK,2006,Miscarriage,40+,60.0,25488,235.40489642184556
AK,2006,Pregnancy,15-19,1750.0,26323,6648.178399118641
AK,2006,Pregnancy,20-24,4700.0,24261,19372.655702567907
AK,2006,Pregnancy,25-29,4210.0,22535,18682.050144220102
AK,2006,Pregnancy,30-34,2780.0,21020,13225.499524262606
AK,2006,Pregnancy,35-39,1580.0,22738,6948.720204063682
AK,2006,Pregnancy,40+,420.0,25488,1647.8342749529188
AK,2007,Abortion,15-19,370.0,26055,1420.0729226635963
AK,2007,Abortion,20-24,650.0,24336,2670.940170940171
AK,2007,Abortion,25-29,460.0,23398,1965.979998290452
AK,2007,Abortion,30-34,260.0,20973,1239.6891241119533
AK,2007,Abortion,35-39,180.0,22611,796.072707973995
AK,2007,Abortion,40+,70.0,24314,287.89997532285923
AK,2007,Birth,15-19,1117.0,26055,4287.0850124736135
AK,2007,Birth,20-24,3316.0,24336,13625.904010519396
AK,2007,Birth,25-29,3184.0,23398,13608.00068381913
AK,2007,Birth,30-34,2089.0,20973,9960.425308730273
AK,2007,Birth,35-39,1054.0,22611,4661.447967803282
AK,2007,Birth,40+,262.0,24314,1077.568479065559
AK,2007,Miscarriage,15-19,260.0,26055,997.8890807906351
AK,2007,Miscarriage,20-24,730.0,24336,2999.6712689020383
AK,2007,Miscarriage,25-29,680.0,23398,2906.2313018206687
AK,2007,Miscarriage,30-34,440.0,20973,2097.9354408048443
AK,2007,Miscarriage,35-39,230.0,22611,1017.2040157445491
AK,2007,Miscarriage,40+,60.0,24314,246.77140741959366
AK,2007,Pregnancy,15-19,1750.0,26055,6716.5611207061975
AK,2007,Pregnancy,20-24,4700.0,24336,19312.9520052597
AK,2007,Pregnancy,25-29,4330.0,23398,18505.855201299255
AK,2007,Pregnancy,30-34,2790.0,20973,13302.81790873981
AK,2007,Pregnancy,35-39,1460.0,22611,6457.034186900182
AK,2007,Pregnancy,40+,390.0,24314,1604.0141482273586
AK,2008,Abortion,15-19,380.0,25685,1479.462721432743
AK,2008,Abortion,20-24,650.0,23984,2710.140093395597
AK,2008,Abortion,25-29,470.0,24323,1932.3274267154547
AK,2008,Abortion,30-34,230.0,21240,1082.8625235404897
AK,2008,Abortion,35-39,160.0,22330,716.5248544558889
AK,2008,Abortion,40+,60.0,23185,258.7880094888937
AK,2008,Birth,15-19,1135.0,25685,4418.921549542534
AK,2008,Birth,20-24,3350.0,23984,13967.645096731154
AK,2008,Birth,25-29,3388.0,24323,13929.202812153104
AK,2008,Birth,30-34,2189.0,21240,10306.026365348398
AK,2008,Birth,35-39,1084.0,22330,4854.455888938647
AK,2008,Birth,40+,273.0,23185,1177.4854431744661
AK,2008,Miscarriage,15-19,270.0,25685,1051.1971968074752
AK,2008,Miscarriage,20-24,740.0,23984,3085.390260173449
AK,2008,Miscarriage,25-29,720.0,24323,2960.161164330058
AK,2008,Miscarriage,30-34,460.0,21240,2165.7250470809795
AK,2008,Miscarriage,35-39,230.0,22330,1030.0044782803402
AK,2008,Miscarriage,40+,60.0,23185,258.7880094888937
AK,2008,Pregnancy,15-19,1780.0,25685,6930.114853027058
AK,2008,Pregnancy,20-24,4740.0,23984,19763.1754503002
AK,2008,Pregnancy,25-29,4580.0,24323,18829.914073099535
