State,Measure,Year,Value
AK,Adequate Prenatal Care,2018,68.4
AK,Adequate Prenatal Care,2019,68.7
AK,Adequate Prenatal Care,2020,66.0
AK,Adequate Prenatal Care,2021,66.6
AK,Adequate Prenatal Care,2022,65.3
AK,Adequate Prenatal Care,2023,66.6
AK,Avoided Care Due to Cost,2018,13.6
AK,Avoided Care Due to Cost,2019,13.5
AK,Avoided Care Due to Cost,2020,12.15
AK,Avoided Care Due to Cost,2021,10.8
AK,Avoided Care Due to Cost,2022,10.3
AK,Avoided Care Due to Cost,2023,11.1
AK,Cervical Cancer Screening,2018,80.8
AK,Cervical Cancer Screening,2019,74.05
AK,Cervical Cancer Screening,2020,67.3
AK,Cervical Cancer Screening,2021,60.55
AK,Cervical Cancer Screening,2022,53.8
AK,Cervical Cancer Screening,2023,53.8
AK,Concentrated Disadvantage,2018,15.4
AK,Concentrated Disadvantage,2019,15.4
AK,Concentrated Disadvantage,2020,15.4
AK,Concentrated Disadvantage,2021,15.4
AK,Concentrated Disadvantage,2022,15.4
AK,Concentrated Disadvantage,2023,16.9
AK,Food Insecurity,2018,10.6
AK,Food Insecurity,2019,10.6
AK,Food Insecurity,2020,10.6
AK,Food Insecurity,2021,10.4
AK,Food Insecurity,2022,10.4
AK,Food Insecurity,2023,10.4
AK,Gender Pay Gap,2018,79.3
AK,Gender Pay Gap,2019,83.1
AK,Gender Pay Gap,2020,83.5
AK,Gender Pay Gap,2021,83.9
AK,Gender Pay Gap,2022,82.1
AK,Gender Pay Gap,2023,82.9
AK,Infant Child Care Affordability,2018,11.9
AK,Infant Child Care Affordability,2019,11.7
AK,Infant Child Care Affordability,2020,11.3
AK,Infant Child Care Affordability,2021,11.4
AK,Infant Child Care Affordability,2022,10.9
AK,Infant Child Care Affordability,2023,10.3
AK,Infant Mortality,2018,5.6
AK,Infant Mortality,2019,5.6
AK,Infant Mortality,2020,6.2
AK,Infant Mortality,2021,6.2
AK,Infant Mortality,2022,6.9
AK,Infant Mortality,2023,6.9
AK,Low Birth Weight,2018,5.9
AK,Low Birth Weight,2019,6.3
AK,Low Birth Weight,2020,6.6
