State,Year,Inadequate Prenatal Care,Avoided Care Due to Cost,No Cancer Screen,Concentrated Disadvantage,Food Insecurity,Gender Pay Gap,Infant Child Care Affordability,Infant Mortality,Low Birth Weight,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,Neonatal Mortality,Postpartum Depression,No Postpartum Visit,Poverty,Severe Maternal Morbidity,Smoking During Pregnancy,Unemployment,Uninsured Women,Unintended Pregnancy,Voter Abstainment,WIC Shortfall,No Preventative,Patients Per Doctor
AK,2018,31.599999999999994,13.6,19.200000000000003,15.4,10.6,20.700000000000003,11.9,5.6,5.9,24.9,6.8,-83.0,3.0,14.8,11.0,9.7,91.3,10.1,7.0,14.5,25.5,41.7,45.9,29.0,1020.4081632653061
AK,2019,31.299999999999997,13.5,25.950000000000003,15.4,10.6,16.900000000000006,11.7,5.6,6.3,24.9,6.8,-82.5,3.0,12.2,11.700000000000003,9.1,99.7,9.6,5.8,16.0,28.1,41.7,49.8,29.0,1020.4081632653061
AK,2020,34.0,12.15,32.7,15.4,10.6,16.5,11.3,6.2,6.6,24.9,6.8,-82.0,3.0,13.8,15.0,9.9,83.6,8.8,6.4,15.5,24.8,41.7,53.7,31.099999999999994,980.3921568627451
AK,2021,33.400000000000006,10.8,39.45,15.4,10.4,16.099999999999994,11.4,6.2,6.9,24.9,6.8,-82.0,3.8,14.5,14.599999999999994,10.7,131.1,7.6,7.0,15.0,22.766666666666666,40.8,49.2,33.599999999999994,969.9321047526673
AK,2022,34.7,10.3,46.2,15.4,10.4,17.900000000000006,10.9,6.9,6.9,24.9,6.8,-82.0,3.5,15.2,14.200000000000003,9.9,114.5,6.8,4.6,13.6,20.73333333333333,41.6,46.9,29.299999999999997,963.3911368015415
AK,2023,33.400000000000006,11.1,46.2,16.9,10.4,17.099999999999994,10.3,6.9,6.7,23.4,6.8,-82.0,3.5,15.9,13.799999999999997,10.4,114.5,5.9,4.8,13.8,18.7,41.6,46.9,29.299999999999997,950.5703422053232
AR,2018,27.5,14.9,16.400000000000006,28.2,12.6,15.0,9.7,7.3,9.4,38.3,13.8,-69.0,4.5,19.1,11.200000000000003,16.7,69.8,13.5,4.7,11.7,35.4,51.7,51.4,24.5,3367.003367003367
AR,2019,26.200000000000003,15.7,25.625,26.9,15.0,21.0,8.9,7.3,9.2,38.3,13.8,-72.0,4.5,19.1,11.200000000000003,16.3,58.6,12.1,4.8,13.1,35.4,51.7,58.95,25.299999999999997,3367.003367003367
AR,2020,28.5,13.7,34.849999999999994,26.9,15.0,18.849999999999994,9.8,8.0,9.6,38.3,13.8,-75.0,4.5,23.2,11.700000000000003,16.35,67.8,11.6,5.15,12.8,33.7,51.7,66.5,25.599999999999994,3289.4736842105262
AR,2021,28.099999999999994,11.7,44.075,26.9,15.0,16.700000000000003,9.4,8.0,9.5,38.3,13.8,-75.5,4.8,19.7,12.900000000000006,16.4,81.1,9.5,5.5,12.5,32.3,51.0,67.9,25.599999999999994,3267.97385620915
AR,2022,26.700000000000003,13.8,53.3,26.9,16.6,19.799999999999997,9.0,8.0,9.3,38.3,13.8,-76.0,4.8,16.75,14.300000000000011,17.2,70.1,7.9,4.5,12.0,32.3,51.6,61.7,25.299999999999997,3355.7046979865772
AR,2023,25.799999999999997,13.9,53.3,26.9,18.9,18.400000000000006,9.2,8.0,9.6,35.3,13.8,-76.0,4.9,13.8,15.700000000000003,16.3,70.1,6.4,4.2,12.1,32.3,51.6,61.7,26.799999999999997,3289.4736842105262
AZ,2018,29.099999999999994,13.3,20.599999999999994,32.2,11.0,16.5,13.9,5.6,7.6,30.0,0.1,-77.0,3.7,13.7,14.799999999999997,12.5,67.5,4.6,5.4,15.0,29.1,34.599999999999994,50.2,30.0,2409.6385542168673
AZ,2019,30.599999999999994,13.9,29.099999999999994,32.2,11.0,16.900000000000006,13.4,5.6,7.4,30.0,0.1,-77.5,3.7,13.7,14.799999999999997,12.4,77.8,4.4,5.1,15.3,29.1,34.599999999999994,49.55,30.0,2409.6385542168673
AZ,2020,31.0,12.2,37.599999999999994,32.2,11.0,16.849999999999994,13.1,5.3,7.4,30.0,0.1,-78.0,3.6,13.7,14.799999999999997,12.25,81.4,3.7,5.449999999999999,14.45,29.1,36.1,48.9,30.0,2398.0815347721823
AZ,2021,28.5,10.5,46.1,32.2,11.8,16.799999999999997,13.4,5.8,7.9,30.0,0.1,-77.5,3.9,12.7,13.199999999999989,12.1,105.6,3.3,5.8,13.6,28.55,36.1,48.0,34.0,2375.296912114014
AZ,2022,28.299999999999997,11.9,54.6,32.2,11.8,13.599999999999994,13.3,5.8,7.8,30.0,0.1,-77.0,3.9,11.7,11.599999999999994,12.2,80.5,2.6,4.3,14.3,28.0,36.1,44.8,33.400000000000006,2463.054187192118
AZ,2023,27.700000000000003,12.1,54.6,30.4,11.8,16.5,14.0,5.9,8.1,30.4,0.1,-77.0,3.9,12.2,12.200000000000003,12.6,80.5,2.2,4.3,13.3,28.0,41.2,44.8,33.400000000000006,2493.7655860349128
CA,2018,21.200000000000003,11.9,22.400000000000006,31.4,9.8,12.200000000000003,18.6,4.2,7.0,10.5,0.1,-86.0,3.0,13.0,12.5,12.2,94.3,1.3,5.6,9.5,31.2,41.5,34.3,30.400000000000006,2341.9203747072597
CA,2019,21.299999999999997,11.9,29.575000000000003,31.4,9.8,12.5,17.5,4.2,7.1,10.5,0.1,-86.5,3.0,13.0,12.5,11.4,99.4,1.1,5.1,10.0,31.2,41.5,35.0,30.400000000000006,2341.9203747072597
CA,2020,25.5,10.55,36.75,31.4,10.3,12.599999999999994,17.5,4.1,6.9,10.5,0.1,-87.0,2.8,13.0,12.5,11.85,105.5,1.0,6.7,9.45,31.2,41.7,35.7,33.7,2252.252252252252
CA,2021,25.799999999999997,9.2,43.925,31.4,10.3,12.700000000000003,16.7,4.1,7.3,10.5,0.1,-87.0,2.9,13.0,12.5,12.3,111.8,0.8,8.3,8.9,31.2,41.7,33.599999999999994,33.900000000000006,2197.802197802198
CA,2022,26.200000000000003,10.1,51.1,31.4,10.3,11.799999999999997,16.6,4.1,7.4,10.5,0.1,-87.0,2.9,13.0,12.5,12.1,110.2,0.7,5.3,8.0,31.2,41.7,30.099999999999994,28.700000000000003,2358.490566037736
CA,2023,25.5,10.7,51.1,32.3,11.4,12.900000000000006,16.6,4.1,7.5,10.1,0.1,-87.0,2.9,13.0,12.5,12.0,110.2,0.6,5.5,8.0,31.2,41.9,30.099999999999994,28.700000000000003,2298.8505747126437
CO,2018,31.299999999999997,12.2,21.900000000000006,13.2,10.1,17.799999999999997,16.1,4.8,9.4,16.0,1.7,-85.0,3.2,11.1,8.5,9.7,80.0,5.9,4.0,9.4,28.2,37.1,52.0,32.400000000000006,1631.3213703099511
CO,2019,30.400000000000006,12.1,27.650000000000006,13.2,10.1,20.099999999999994,16.0,4.8,9.4,16.0,1.7,-85.0,3.2,11.9,9.200000000000003,9.5,90.7,5.1,3.7,11.2,24.3,37.1,53.6,32.400000000000006,1631.3213703099511
CO,2020,32.900000000000006,10.8,33.400000000000006,13.2,10.1,18.549999999999997,15.5,4.8,9.3,16.0,1.7,-85.0,3.2,11.6,11.5,9.75,103.1,4.7,4.5,10.75,25.5,35.5,55.2,32.8,1592.3566878980891
CO,2021,29.599999999999994,9.5,39.15,13.2,9.9,17.0,14.9,4.8,9.5,16.0,1.7,-85.5,3.3,11.4,7.799999999999997,10.0,106.1,3.7,5.3,10.3,22.6,35.5,55.5,32.5,1555.2099533437015
CO,2022,28.200000000000003,10.7,44.9,13.2,9.9,20.099999999999994,15.65,4.8,9.9,16.0,1.7,-86.0,3.1,12.5,8.400000000000006,9.4,106.9,3.1,3.5,9.0,24.0,35.5,54.4,31.200000000000003,1597.444089456869
CO,2023,30.099999999999994,12.1,44.9,12.4,9.9,17.400000000000006,16.4,4.5,9.7,17.0,1.7,-86.0,3.1,9.2,8.0,9.7,106.9,3.0,3.8,8.0,33.9,34.3,54.4,31.200000000000003,1577.2870662460568
CT,2018,16.299999999999997,9.2,17.799999999999997,23.3,11.8,16.5,12.6,4.3,7.6,15.6,0.0,-85.0,3.0,11.7,5.599999999999994,10.6,87.6,4.0,5.6,7.5,24.4,39.7,51.7,22.700000000000003,1499.2503748125937
CT,2019,15.099999999999994,9.9,24.924999999999997,23.3,11.8,16.799999999999997,12.7,4.3,7.8,15.6,0.0,-86.0,3.0,11.1,4.799999999999997,10.4,91.8,3.6,5.3,7.7,24.2,39.7,53.5,22.700000000000003,1499.2503748125937
CT,2020,15.599999999999994,8.65,32.05,23.3,11.8,17.099999999999994,12.7,4.4,7.8,15.6,0.0,-87.0,3.0,10.4,7.799999999999997,10.45,86.0,3.3,6.0,7.4,23.9,41.9,55.3,22.900000000000006,1457.725947521866
CT,2021,15.200000000000003,7.4,39.175,23.3,10.4,17.400000000000006,12.0,4.5,8.1,15.6,0.0,-87.0,3.0,11.9,5.099999999999994,10.5,103.9,2.4,6.7,7.1,18.9,41.9,55.3,24.0,1416.4305949008499
CT,2022,16.900000000000006,9.2,46.3,23.3,10.4,15.200000000000003,12.1,4.4,8.0,15.6,0.0,-87.0,3.0,10.25,5.849999999999994,10.5,107.2,2.0,4.7,6.8,19.75,41.9,53.1,21.099999999999994,1600.0
CT,2023,15.799999999999997,8.9,46.3,23.3,10.4,15.799999999999997,11.8,4.4,7.9,16.2,0.0,-87.0,3.0,8.6,6.599999999999994,11.1,107.2,1.8,4.6,7.9,20.6,42.0,53.1,21.099999999999994,1584.7860538827258
DE,2018,28.299999999999997,10.6,18.799999999999997,23.7,9.9,15.799999999999997,10.9,6.2,8.9,18.9,0.0,-83.0,4.2,13.1,12.299999999999997,12.6,68.8,8.7,5.8,7.9,32.8,40.2,53.9,23.099999999999994,1953.125
DE,2019,24.5,10.6,27.25,23.7,11.2,17.400000000000006,11.2,6.2,9.4,18.9,0.0,-83.5,4.2,10.4,9.799999999999997,11.1,67.0,8.9,4.6,8.7,34.6,40.2,56.75,23.099999999999994,1953.125
DE,2020,22.0,9.0,35.7,23.7,11.2,16.25,10.9,5.8,8.9,18.9,0.0,-84.0,3.8,10.6,12.0,11.3,82.8,7.0,5.1,7.899999999999999,33.7,39.0,59.6,25.599999999999994,1953.125
DE,2021,22.0,7.4,44.15,23.7,11.2,15.099999999999994,11.1,6.2,9.1,18.9,0.0,-88.5,4.6,9.7,12.299999999999997,11.5,84.2,5.2,5.6,7.1,31.0,39.0,53.2,25.599999999999994,1912.0458891013386
DE,2022,23.200000000000003,8.1,52.6,23.7,11.3,17.599999999999994,12.0,6.2,9.0,18.9,0.0,-93.0,4.6,10.4,11.0,9.1,111.1,3.2,4.3,8.2,27.2,39.0,44.4,24.0,2169.1973969631235
DE,2023,21.400000000000006,8.7,52.6,24.2,11.3,13.400000000000006,12.4,6.8,9.2,18.9,0.0,-93.0,4.9,10.6,11.099999999999994,10.5,111.1,2.9,3.5,9.4,27.2,38.0,44.4,24.0,2159.8272138228945
FL,2018,28.900000000000006,16.2,21.099999999999994,26.9,10.1,15.099999999999994,11.8,6.1,8.7,24.1,0.9,-81.0,4.2,13.0,10.700000000000003,13.0,73.4,4.5,5.3,19.6,42.1,42.6,46.2,25.700000000000003,2506.2656641604012
FL,2019,28.900000000000006,16.0,28.39999999999999,26.9,10.1,17.099999999999994,11.7,6.1,8.7,24.1,0.9,-81.0,4.0,13.0,10.700000000000003,12.3,81.8,4.1,4.5,19.6,42.1,42.6,49.3,27.599999999999994,2506.2656641604012
FL,2020,32.3,15.1,35.69999999999999,26.9,11.4,17.25,11.6,6.0,8.7,24.1,0.9,-81.0,4.0,15.7,10.700000000000003,12.7,94.1,3.7,5.05,18.700000000000003,37.9,44.4,52.4,27.400000000000006,2409.6385542168673
FL,2021,35.3,14.2,43.0,26.9,11.4,17.400000000000006,11.1,5.9,9.0,24.1,0.9,-82.0,3.9,14.1,10.666666666666671,13.1,114.7,2.9,5.6,17.8,37.9,44.4,52.5,27.400000000000006,2336.448598130841
FL,2022,35.599999999999994,13.3,50.3,26.9,11.4,15.200000000000003,12.1,6.0,9.1,24.1,0.9,-83.0,3.9,12.5,10.633333333333326,12.8,102.7,2.3,4.0,15.7,37.9,44.4,49.3,27.299999999999997,2463.054187192118
FL,2023,34.0,12.9,50.3,26.8,12.0,14.900000000000006,12.1,6.0,9.0,24.5,0.9,-83.0,3.9,10.9,10.599999999999994,12.6,102.7,1.8,4.1,15.9,37.9,45.3,49.3,29.099999999999994,2444.987775061125
GA,2018,25.5,18.2,17.299999999999997,33.0,10.0,19.799999999999997,10.3,7.0,10.1,32.1,4.9,-73.0,4.7,13.6,10.200000000000003,13.7,80.7,4.4,4.9,20.2,38.5,39.0,54.5,27.099999999999994,2136.7521367521367
GA,2019,24.299999999999997,17.8,23.650000000000006,33.0,10.0,19.799999999999997,10.4,7.0,10.0,32.1,4.9,-74.0,4.3,14.5,8.5,12.9,87.2,4.2,4.8,19.7,32.6,39.0,59.15,29.700000000000003,2136.7521367521367
GA,2020,25.200000000000003,16.65,30.0,33.0,11.3,18.650000000000006,9.1,6.7,9.9,32.1,4.9,-75.0,4.3,8.6,10.799999999999997,13.2,93.0,4.2,5.15,19.0,27.1,39.0,63.8,28.400000000000006,2096.4360587002097
GA,2021,24.0,15.5,36.35,33.0,11.3,17.5,9.5,6.7,10.6,32.1,4.9,-76.5,3.9,10.5,9.299999999999997,13.5,109.4,3.5,5.5,18.3,27.9,38.5,60.8,28.400000000000006,2074.688796680498
GA,2022,25.200000000000003,14.8,42.7,33.0,11.3,18.900000000000006,9.5,7.0,10.6,32.1,4.9,-78.0,4.1,10.75,10.0,12.9,99.9,2.8,4.2,17.5,18.95,39.3,60.4,28.599999999999994,2197.802197802198
GA,2023,24.400000000000006,15.6,42.7,33.2,12.8,17.599999999999994,8.8,7.0,10.2,30.4,4.9,-78.0,4.1,11.0,10.700000000000003,13.7,99.9,2.2,4.4,16.4,10.0,39.3,60.4,29.799999999999997,2145.9227467811156
HI,2018,35.400000000000006,7.3,18.5,19.0,8.9,18.299999999999997,14.3,6.0,8.3,16.1,0.0,-68.0,3.6,11.1,7.0,9.0,104.3,3.0,3.9,5.3,23.0,45.8,45.5,22.700000000000003,1792.1146953405018
HI,2019,36.3,8.2,27.200000000000003,19.0,9.1,13.200000000000003,14.3,6.0,8.4,16.1,0.0,-71.5,3.6,11.1,7.0,9.2,104.8,2.2,3.9,6.6,23.0,45.8,45.5,22.700000000000003,1792.1146953405018
HI,2020,39.7,6.75,35.900000000000006,19.0,9.1,17.25,14.1,5.0,8.1,16.1,0.0,-75.0,3.1,13.7,9.5,10.45,98.6,1.9,5.8,5.65,25.8,45.8,45.5,24.900000000000006,1715.2658662092624
HI,2021,37.6,5.3,44.599999999999994,19.0,9.1,21.299999999999997,15.6,5.2,8.8,16.1,0.0,-75.0,3.7,14.4,11.299999999999997,11.7,105.8,1.7,7.7,4.7,23.0,42.8,44.6,24.900000000000006,1557.632398753894
