,State,Start,End,LegalProtection,ConstProtection,LifeException,HealthException,FetalAnomalyException,LegalRestriction,TotalBan,BanException,GestLimit6,GestLimit7_14,GestLimit15_20,HeartbeatBan,MedBan,TeleBan,CriminalPenalty,CivilPenalty,LicensePenalty,ProviderPenalty,PatientPenalty,FundRestriction,FundLifeException,FundFetalAnomalyException,FundHealthException
0,Alabama,2018-12-01,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,Alabama,2022-06-01,2022-06-23,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0
2,Alabama,2022-06-23,2022-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,Alabama,2022-06-24,2022-11-01,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0
4,Alabama,2022-11-01,2023-06-01,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
5,Alaska,2018-12-01,2019-02-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
6,Alaska,2019-02-14,2019-02-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Alaska,2019-02-15,2021-02-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
8,Alaska,2021-02-13,2021-02-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alaska,2021-02-14,2022-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
10,Alaska,2022-06-01,2022-06-30,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
11,Alaska,2022-06-30,2022-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
12,Alaska,2022-07-01,2022-07-13,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
13,Alaska,2022-07-13,2022-07-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
14,Alaska,2022-07-14,2022-11-01,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
15,Alaska,2022-11-01,2023-06-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
16,Arizona,2018-12-01,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
17,Arizona,2022-06-01,2022-06-29,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0
18,Arizona,2022-06-29,2022-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
19,Arizona,2022-06-30,2022-07-10,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0
20,Arizona,2022-07-10,2022-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
21,Arizona,2022-07-11,2022-07-12,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0
22,Arizona,2022-07-12,2022-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
23,Arizona,2022-07-13,2022-09-21,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0
24,Arizona,2022-09-21,2022-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
25,Arizona,2022-09-22,2022-09-23,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0
