"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Race","Race Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Alabama","01","2005","2005","< 1 year","1","American Indian or Alaska Native","1002-5",0,130,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","< 1 year","1","Asian or Pacific Islander","A-PI",0,387,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","< 1 year","1","Black or African American","2054-5",0,8600,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","< 1 year","1","White","2106-3",0,20095,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","1-4 years","1-4","American Indian or Alaska Native","1002-5",0,715,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","1-4 years","1-4","Asian or Pacific Islander","A-PI",0,1503,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","1-4 years","1-4","Black or African American","2054-5",0,36231,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","1-4 years","1-4","White","2106-3",0,77820,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","5-9 years","5-9","American Indian or Alaska Native","1002-5",0,1080,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","5-9 years","5-9","Asian or Pacific Islander","A-PI",0,1933,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","5-9 years","5-9","Black or African American","2054-5",0,47193,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","5-9 years","5-9","White","2106-3",0,95670,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","10-14 years","10-14","American Indian or Alaska Native","1002-5",0,1167,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","10-14 years","10-14","Asian or Pacific Islander","A-PI",0,1603,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","10-14 years","10-14","Black or African American","2054-5",0,53051,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","10-14 years","10-14","White","2106-3",0,101874,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","15-19 years","15-19","American Indian or Alaska Native","1002-5",0,1295,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","15-19 years","15-19","Asian or Pacific Islander","A-PI",0,1593,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","15-19 years","15-19","Black or African American","2054-5",Suppressed,54231,Suppressed,Suppressed
,"Alabama","01","2005","2005","15-19 years","15-19","White","2106-3",0,104582,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","20-24 years","20-24","American Indian or Alaska Native","1002-5",0,1236,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","20-24 years","20-24","Asian or Pacific Islander","A-PI",0,2224,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","20-24 years","20-24","Black or African American","2054-5",Suppressed,53577,Suppressed,Suppressed
,"Alabama","01","2005","2005","20-24 years","20-24","White","2106-3",Suppressed,106635,Suppressed,Suppressed
,"Alabama","01","2005","2005","25-34 years","25-34","American Indian or Alaska Native","1002-5",0,2068,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","25-34 years","25-34","Asian or Pacific Islander","A-PI",0,5002,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","25-34 years","25-34","Black or African American","2054-5",Suppressed,89366,Suppressed,Suppressed
,"Alabama","01","2005","2005","25-34 years","25-34","White","2106-3",Suppressed,200791,Suppressed,Suppressed
,"Alabama","01","2005","2005","35-44 years","35-44","American Indian or Alaska Native","1002-5",0,2339,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","35-44 years","35-44","Asian or Pacific Islander","A-PI",0,4200,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","35-44 years","35-44","Black or African American","2054-5",0,90180,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","35-44 years","35-44","White","2106-3",Suppressed,231670,Suppressed,Suppressed
,"Alabama","01","2005","2005","45-54 years","45-54","American Indian or Alaska Native","1002-5",0,2406,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","45-54 years","45-54","Asian or Pacific Islander","A-PI",0,3500,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","45-54 years","45-54","Black or African American","2054-5",0,90948,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","45-54 years","45-54","White","2106-3",0,242281,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","55-64 years","55-64","American Indian or Alaska Native","1002-5",0,1448,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","55-64 years","55-64","Asian or Pacific Islander","A-PI",0,2235,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","55-64 years","55-64","Black or African American","2054-5",0,55131,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","55-64 years","55-64","White","2106-3",0,204396,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","65-74 years","65-74","American Indian or Alaska Native","1002-5",0,551,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","65-74 years","65-74","Asian or Pacific Islander","A-PI",0,1049,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","65-74 years","65-74","Black or African American","2054-5",0,35434,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","65-74 years","65-74","White","2106-3",0,142888,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","75-84 years","75-84","American Indian or Alaska Native","1002-5",0,261,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","75-84 years","75-84","Asian or Pacific Islander","A-PI",0,412,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","75-84 years","75-84","Black or African American","2054-5",0,24079,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","75-84 years","75-84","White","2106-3",0,101139,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","85+ years","85+","American Indian or Alaska Native","1002-5",0,95,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","85+ years","85+","Asian or Pacific Islander","A-PI",0,69,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","85+ years","85+","Black or African American","2054-5",0,9574,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","85+ years","85+","White","2106-3",0,38486,0.00 (Unreliable),0.00%
,"Alabama","01","2005","2005","Not Stated","NS","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","2005","2005","Not Stated","NS","Asian or Pacific Islander","A-PI",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","2005","2005","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","2005","2005","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","2006","2006","< 1 year","1","American Indian or Alaska Native","1002-5",0,131,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","< 1 year","1","Asian or Pacific Islander","A-PI",0,412,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","< 1 year","1","Black or African American","2054-5",0,9019,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","< 1 year","1","White","2106-3",0,20286,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","1-4 years","1-4","American Indian or Alaska Native","1002-5",0,788,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","1-4 years","1-4","Asian or Pacific Islander","A-PI",0,1644,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","1-4 years","1-4","Black or African American","2054-5",0,35622,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","1-4 years","1-4","White","2106-3",0,77878,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","5-9 years","5-9","American Indian or Alaska Native","1002-5",0,1093,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","5-9 years","5-9","Asian or Pacific Islander","A-PI",0,2034,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","5-9 years","5-9","Black or African American","2054-5",0,47809,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","5-9 years","5-9","White","2106-3",0,97488,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","10-14 years","10-14","American Indian or Alaska Native","1002-5",0,1237,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","10-14 years","10-14","Asian or Pacific Islander","A-PI",0,1710,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","10-14 years","10-14","Black or African American","2054-5",0,52559,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","10-14 years","10-14","White","2106-3",0,101753,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","15-19 years","15-19","American Indian or Alaska Native","1002-5",0,1305,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","15-19 years","15-19","Asian or Pacific Islander","A-PI",0,1685,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","15-19 years","15-19","Black or African American","2054-5",0,55678,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","15-19 years","15-19","White","2106-3",0,106040,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","20-24 years","20-24","American Indian or Alaska Native","1002-5",0,1235,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","20-24 years","20-24","Asian or Pacific Islander","A-PI",0,2310,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","20-24 years","20-24","Black or African American","2054-5",Suppressed,53760,Suppressed,Suppressed
,"Alabama","01","2006","2006","20-24 years","20-24","White","2106-3",Suppressed,105566,Suppressed,Suppressed
,"Alabama","01","2006","2006","25-34 years","25-34","American Indian or Alaska Native","1002-5",0,2211,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","25-34 years","25-34","Asian or Pacific Islander","A-PI",0,5309,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","25-34 years","25-34","Black or African American","2054-5",Suppressed,91123,Suppressed,Suppressed
,"Alabama","01","2006","2006","25-34 years","25-34","White","2106-3",Suppressed,201787,Suppressed,Suppressed
,"Alabama","01","2006","2006","35-44 years","35-44","American Indian or Alaska Native","1002-5",0,2377,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","35-44 years","35-44","Asian or Pacific Islander","A-PI",0,4543,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","35-44 years","35-44","Black or African American","2054-5",Suppressed,90157,Suppressed,Suppressed
,"Alabama","01","2006","2006","35-44 years","35-44","White","2106-3",0,230972,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","45-54 years","45-54","American Indian or Alaska Native","1002-5",0,2499,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","45-54 years","45-54","Asian or Pacific Islander","A-PI",0,3618,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","45-54 years","45-54","Black or African American","2054-5",Suppressed,93223,Suppressed,Suppressed
,"Alabama","01","2006","2006","45-54 years","45-54","White","2106-3",0,246393,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","55-64 years","55-64","American Indian or Alaska Native","1002-5",0,1514,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","55-64 years","55-64","Asian or Pacific Islander","A-PI",0,2462,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","55-64 years","55-64","Black or African American","2054-5",0,58835,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","55-64 years","55-64","White","2106-3",0,210708,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","65-74 years","65-74","American Indian or Alaska Native","1002-5",0,620,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","65-74 years","65-74","Asian or Pacific Islander","A-PI",0,1117,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","65-74 years","65-74","Black or African American","2054-5",0,36082,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","65-74 years","65-74","White","2106-3",0,145122,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","75-84 years","75-84","American Indian or Alaska Native","1002-5",0,277,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","75-84 years","75-84","Asian or Pacific Islander","A-PI",0,459,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","75-84 years","75-84","Black or African American","2054-5",0,24096,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","75-84 years","75-84","White","2106-3",0,101678,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","85+ years","85+","American Indian or Alaska Native","1002-5",0,100,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","85+ years","85+","Asian or Pacific Islander","A-PI",0,86,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","85+ years","85+","Black or African American","2054-5",0,9691,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","85+ years","85+","White","2106-3",0,39379,0.00 (Unreliable),0.00%
,"Alabama","01","2006","2006","Not Stated","NS","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","2006","2006","Not Stated","NS","Asian or Pacific Islander","A-PI",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","2006","2006","Not Stated","NS","Black or African American","2054-5",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","2006","2006","Not Stated","NS","White","2106-3",0,Not Applicable,Not Applicable,0.00%
,"Alabama","01","2007","2007","< 1 year","1","American Indian or Alaska Native","1002-5",0,158,0.00 (Unreliable),0.00%
,"Alabama","01","2007","2007","< 1 year","1","Asian or Pacific Islander","A-PI",0,442,0.00 (Unreliable),0.00%
,"Alabama","01","2007","2007","< 1 year","1","Black or African American","2054-5",0,9242,0.00 (Unreliable),0.00%
,"Alabama","01","2007","2007","< 1 year","1","White","2106-3",0,21106,0.00 (Unreliable),0.00%
,"Alabama","01","2007","2007","1-4 years","1-4","American Indian or Alaska Native","1002-5",0,842,0.00 (Unreliable),0.00%
,"Alabama","01","2007","2007","1-4 years","1-4","Asian or Pacific Islander","A-PI",0,1780,0.00 (Unreliable),0.00%
,"Alabama","01","2007","2007","1-4 years","1-4","Black or African American","2054-5",0,35756,0.00 (Unreliable),0.00%
,"Alabama","01","2007","2007","1-4 years","1-4","White","2106-3",0,77846,0.00 (Unreliable),0.00%
