state,year,abortion_restricted,inadequate_prenatal_care,no_cancer_screen,infant_mortality,maternal_mortality,maternity_care_desert,maternity_practices_score,no_postpartum_visit,unintended_pregnancy,no_preventative,patients_per_doctor,inadequate_prenatal_care_z,no_cancer_screen_z,infant_mortality_z,maternal_mortality_z,maternity_care_desert_z,maternity_practices_score_z,no_postpartum_visit_z,unintended_pregnancy_z,no_preventative_z,patients_per_doctor_z,risk_index,post_dobbs,policy_shock
AK,2018,1,31.59999999999999,19.200000000000003,5.6,24.9,6.8,-83.0,11.0,25.5,29.0,1020.408163265306,1.5785927839801268,-1.5012035372137984,-0.10490914358377397,0.07869059571943281,0.32282970750292933,-0.44779780320706014,0.4254319672124842,-0.3044277818344056,0.4816433420779301,-2.3652517750725486,-0.18364016444186834,0.0,0.0
AK,2019,1,31.299999999999997,25.950000000000003,5.6,24.9,6.8,-82.5,11.700000000000005,28.1,29.0,1020.408163265306,1.521252366119389,-0.8986002341543282,-0.10490914358377397,0.07869059571943281,0.32282970750292933,-0.3542382319086887,0.6990908853594872,0.0017922577568050603,0.4816433420779301,-2.3652517750725486,-0.0617700230183366,0.0,0.0
AK,2020,1,34.0,32.7,6.2,24.9,6.8,-82.0,15.0,24.8,31.09999999999999,980.3921568627452,2.037316126866041,-0.29599693109485803,0.41837260874974463,0.07869059571943281,0.32282970750292933,-0.2606786606103173,1.9891972137667764,-0.38687163864742374,1.003438633794504,-2.450708035156649,0.2455589620890181,0.0,0.0
AK,2021,1,33.400000000000006,39.45,6.2,24.9,6.8,-82.0,14.599999999999994,22.766666666666666,33.599999999999994,969.9321047526672,1.922635291144564,0.3066063719646121,0.41837260874974463,0.07869059571943281,0.32282970750292933,-0.2606786606103173,1.832820689111345,-0.6263514131995245,1.6246235048856672,-2.4730460197276143,0.3146502675540838,0.0,0.0
AK,2023,1,33.400000000000006,46.2,6.9,23.4,6.8,-82.0,13.799999999999995,18.7,29.299999999999997,950.5703422053232,1.922635291144564,0.9092096750240823,1.0288679864721826,-0.11756185384589919,0.32282970750292933,-0.2606786606103173,1.520067639800487,-1.1053109623037254,0.5561855266088689,-2.514394069287766,0.22618502805054072,1.0,1.0
AR,2018,1,27.5,16.400000000000006,7.3,38.3,13.8,-69.0,11.200000000000005,35.4,24.5,3367.003367003367,0.7949404065500282,-1.751172314779208,1.377722488027861,1.8318791451697318,1.5707428625562696,2.1718701931473396,0.5036202295402007,0.8615639073782804,-0.6364894258861619,2.6460241634956025,0.9370701655199944,0.0,0.0
AR,2019,1,26.200000000000003,25.625,7.3,38.3,13.8,-72.0,11.200000000000005,35.4,25.299999999999997,3367.003367003367,0.5464652624868261,-0.9276144672645993,1.377722488027861,1.8318791451697318,1.5707428625562696,1.6105127653571112,0.5036202295402007,0.8615639073782804,-0.4377102671369907,2.6460241634956025,0.9583206089610293,0.0,0.0
AR,2020,1,28.5,34.849999999999994,8.0,38.3,13.8,-75.0,11.700000000000005,33.7,25.59999999999999,3289.4736842105262,0.9860751327524917,-0.10405661974999053,1.988217865750299,1.8318791451697318,1.5707428625562696,1.0491553375668827,0.6990908853594872,0.6613431122609509,-0.36316808260605277,2.4804554990384013,1.0799735138098472,0.0,0.0
AR,2021,1,28.09999999999999,44.075,8.0,38.3,13.8,-75.5,12.900000000000006,32.3,25.59999999999999,3267.97385620915,0.9096212422715045,0.7195012277646194,1.988217865750299,1.8318791451697318,1.5707428625562696,0.9555957662685113,1.1682204593257752,0.49645539863491384,-0.36316808260605277,2.43454149965111,1.1711607384786682,0.0,0.0
AR,2023,1,25.799999999999997,53.3,8.0,35.3,13.8,-76.0,15.700000000000005,32.3,26.799999999999997,3289.4736842105262,0.47001137200583964,1.5430590752792281,1.988217865750299,1.4393742460390677,1.5707428625562696,0.8620361949701398,2.2628561319137797,0.49645539863491384,-0.06499934448229334,2.4804554990384013,1.3048209301705644,1.0,1.0
AZ,2018,1,29.09999999999999,20.59999999999999,5.6,30.0,0.1,-77.0,14.799999999999995,29.1,30.0,2409.6385542168673,1.100755968473968,-1.3762191484310946,-0.10490914358377397,0.7459489242415618,-0.8716014551909821,0.6749170523733969,1.91100895143906,0.1195691960611168,0.730117290514395,0.601521880738732,0.35311095166363804,0.0,0.0
AZ,2019,1,30.59999999999999,29.09999999999999,5.6,30.0,0.1,-77.5,14.799999999999995,29.1,30.0,2409.6385542168673,1.3874580577776634,-0.6173853593932432,-0.10490914358377397,0.7459489242415618,-0.8716014551909821,0.5813574810750255,1.91100895143906,0.1195691960611168,0.730117290514395,0.601521880738732,0.44830858236795557,0.0,0.0
AZ,2020,1,31.0,37.599999999999994,5.3,30.0,0.1,-78.0,14.799999999999995,29.1,30.0,2398.0815347721823,1.4639119482586505,0.14144842964460844,-0.36655001975053286,0.7459489242415618,-0.8716014551909821,0.4877979097766541,1.91100895143906,0.1195691960611168,0.730117290514395,0.5768412654487763,0.4938492440443308,0.0,0.0
AZ,2021,1,28.5,46.1,5.8,30.0,0.1,-77.5,13.199999999999989,28.55,34.0,2375.296912114014,0.9860751327524917,0.9002822186824604,0.06951810719406556,0.7459489242415618,-0.8716014551909821,0.5813574810750255,1.2855028528173404,0.054791879993745254,1.7240130842602546,0.5281835203403112,0.6004071746166275,0.0,0.0
AZ,2023,1,27.700000000000003,54.6,5.9,30.4,0.1,-77.0,12.200000000000005,28.0,33.400000000000006,2493.7655860349128,0.8331673517905214,1.6591160077203118,0.15673173258298573,0.7982829107923168,-0.8716014551909821,0.6749170523733969,0.8945615411787737,-0.00998543607362628,1.574928715198377,0.7811795267022783,0.6491297947074354,1.0,1.0
CA,2018,0,21.200000000000003,22.40000000000001,4.2,10.5,0.1,-86.0,12.5,31.2,30.40000000000001,2341.9203747072597,-0.4092083685254915,-1.2155249342819008,-1.3258998990286492,-1.8053329201077541,-0.8716014551909821,-1.0091552309972887,1.0118439346703438,0.36690076650017117,0.8295068698889833,0.4569061911474668,-0.3971565045925101,0.0,0.0
CA,2019,0,21.299999999999997,29.575000000000003,4.2,10.5,0.1,-86.5,12.5,31.2,30.40000000000001,2341.9203747072597,-0.3900948959052462,-0.5749799417705387,-1.3258998990286492,-1.8053329201077541,-0.8716014551909821,-1.10271480229566,1.0118439346703438,0.36690076650017117,0.8295068698889833,0.4569061911474668,-0.3405466152091865,0.0,0.0
CA,2020,0,25.5,36.75,4.1,10.5,0.1,-87.0,12.5,31.2,33.7,2252.252252252252,0.41267095414510113,0.0655650507408238,-1.4131135244175692,-1.8053329201077541,-0.8716014551909821,-1.1962743735940315,1.0118439346703438,0.36690076650017117,1.6494708997293157,0.2654152583272016,-0.15144554091973808,0.0,0.0
CA,2021,0,25.799999999999997,43.925,4.1,10.5,0.1,-87.0,12.5,31.2,33.900000000000006,2197.802197802198,0.47001137200583964,0.7061100432521863,-1.4131135244175692,-1.8053329201077541,-0.8716014551909821,-1.1962743735940315,1.0118439346703438,0.36690076650017117,1.6991656894166094,0.14913433894041622,-0.08831561285247705,0.0,0.0
CA,2023,0,25.5,51.1,4.1,10.1,0.1,-87.0,12.5,31.2,28.700000000000003,2298.8505747126437,0.41267095414510113,1.3466550357635494,-1.4131135244175692,-1.8576669066585094,-0.8716014551909821,-1.1962743735940315,1.0118439346703438,0.36690076650017117,0.40710115754699133,0.3649283962350152,-0.14285560149999202,1.0,0.0
CO,2018,0,31.299999999999997,21.90000000000001,4.8,16.0,1.7,-85.0,8.5,28.2,32.400000000000006,1631.3213703099511,1.521252366119389,-1.2601622159900097,-0.8026181466951313,-1.0857406050348701,-0.5863641626073613,-0.8220360884005459,-0.5519213118839484,0.013569951587235982,1.326454766761912,-1.0606148909011668,-0.3308180337044497,0.0,0.0
CO,2019,0,30.40000000000001,27.65000000000001,4.8,16.0,1.7,-85.0,9.200000000000005,24.3,32.400000000000006,1631.3213703099511,1.349231112537174,-0.7468334763467573,-0.8026181466951313,-1.0857406050348701,-0.5863641626073613,-0.8220360884005459,-0.2782623937369455,-0.4457601077995796,1.326454766761912,-1.0606148909011668,-0.3152543992223272,0.0,0.0
CO,2020,0,32.900000000000006,33.400000000000006,4.8,16.0,1.7,-85.0,11.5,25.5,32.8,1592.3566878980891,1.8270679280433322,-0.23350473670350533,-0.8026181466951313,-1.0857406050348701,-0.5863641626073613,-0.8220360884005459,0.6209026230317708,-0.3044277818344056,1.425844346136496,-1.1438259939978856,-0.11047026180621063,0.0,0.0
CO,2021,0,29.59999999999999,39.15,4.8,16.0,1.7,-85.5,7.799999999999997,22.6,32.5,1555.2099533437015,1.1963233315751998,0.2798240029397464,-0.8026181466951313,-1.0857406050348701,-0.5863641626073613,-0.9155956596989173,-0.8255802300309507,-0.6459809029169095,1.3513021616055572,-1.223154775021662,-0.3257584985885299,0.0,0.0
CO,2023,0,30.09999999999999,44.9,4.5,17.0,1.7,-86.0,8.0,33.9,31.200000000000003,1577.2870662460568,1.2918906946764315,0.7931527425829987,-1.0642590228618902,-0.9549056386579822,-0.5863641626073613,-1.0091552309972887,-0.747391967703235,0.6848984999218127,1.0282860286381534,-1.1760079537444397,-0.17398560107528008,1.0,0.0
CT,2018,0,16.299999999999997,17.799999999999997,4.3,15.6,0.0,-85.0,5.599999999999994,24.4,22.700000000000003,1499.2503748125937,-1.3457685269175639,-1.6261879259965037,-1.2386862736397297,-1.1380745915856254,-0.8894287859774583,-0.8220360884005459,-1.6856511156358125,-0.43398241396914866,-1.083742533071798,-1.3426593614874658,-1.160621761668165,0.0,0.0
CT,2019,0,15.099999999999994,24.924999999999997,4.3,15.6,0.0,-86.0,4.799999999999997,24.2,22.700000000000003,1499.2503748125937,-1.5751301983605206,-0.990106661655952,-1.2386862736397297,-1.1380745915856254,-0.8894287859774583,-1.0091552309972887,-1.99840416494667,-0.45753780163001095,-1.083742533071798,-1.3426593614874658,-1.1722925603352519,0.0,0.0
CT,2020,0,15.599999999999994,32.05,4.4,15.6,0.0,-87.0,7.799999999999997,23.9,22.90000000000001,1457.725947521866,-1.4795628352592889,-0.3540253973154001,-1.1514726482508095,-1.1380745915856254,-0.8894287859774583,-1.1962743735940315,-0.8255802300309507,-0.49287088312130456,-1.0340477433845034,-1.431336932724876,-0.999267442124425,0.0,0.0
CT,2021,0,15.200000000000005,39.175,4.5,15.6,0.0,-87.0,5.099999999999994,18.9,24.0,1416.43059490085,-1.5560167257402722,0.28205586702515173,-1.0642590228618902,-1.1380745915856254,-0.8894287859774583,-1.1962743735940315,-1.8811217714550992,-1.081755574642863,-0.7607264001043943,-1.5195253031070919,-1.0805126682043573,0.0,0.0
