State,Year,Abortion Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Unintended Pregnancy,No Preventative,Patients Per Doctor,Region
AK,2018,1,31.59999999999999,19.200000000000003,5.6,24.9,6.8,-83.0,11.0,25.5,29.0,1020.408163265306,West
AK,2019,1,31.299999999999997,25.950000000000003,5.6,24.9,6.8,-82.5,11.700000000000005,28.1,29.0,1020.408163265306,West
AK,2020,1,34.0,32.7,6.2,24.9,6.8,-82.0,15.0,24.8,31.09999999999999,980.3921568627452,West
AK,2021,1,33.400000000000006,39.45,6.2,24.9,6.8,-82.0,14.599999999999994,22.766666666666666,33.599999999999994,969.9321047526672,West
AK,2022,1,34.7,46.2,6.9,24.9,6.8,-82.0,14.200000000000005,20.73333333333333,29.299999999999997,963.3911368015416,West
AK,2023,1,33.400000000000006,46.2,6.9,23.4,6.8,-82.0,13.799999999999995,18.7,29.299999999999997,950.5703422053232,West
AR,2018,1,27.5,16.400000000000006,7.3,38.3,13.8,-69.0,11.200000000000005,35.4,24.5,3367.003367003367,South
AR,2019,1,26.200000000000003,25.625,7.3,38.3,13.8,-72.0,11.200000000000005,35.4,25.299999999999997,3367.003367003367,South
AR,2020,1,28.5,34.849999999999994,8.0,38.3,13.8,-75.0,11.700000000000005,33.7,25.59999999999999,3289.4736842105262,South
AR,2021,1,28.09999999999999,44.075,8.0,38.3,13.8,-75.5,12.900000000000006,32.3,25.59999999999999,3267.97385620915,South
AR,2022,1,26.700000000000003,53.3,8.0,38.3,13.8,-76.0,14.300000000000011,32.3,25.299999999999997,3355.7046979865772,South
AR,2023,1,25.799999999999997,53.3,8.0,35.3,13.8,-76.0,15.700000000000005,32.3,26.799999999999997,3289.4736842105262,South
AZ,2018,1,29.09999999999999,20.59999999999999,5.6,30.0,0.1,-77.0,14.799999999999995,29.1,30.0,2409.6385542168673,West
AZ,2019,1,30.59999999999999,29.09999999999999,5.6,30.0,0.1,-77.5,14.799999999999995,29.1,30.0,2409.6385542168673,West
AZ,2020,1,31.0,37.599999999999994,5.3,30.0,0.1,-78.0,14.799999999999995,29.1,30.0,2398.0815347721823,West
AZ,2021,1,28.5,46.1,5.8,30.0,0.1,-77.5,13.199999999999989,28.55,34.0,2375.296912114014,West
AZ,2022,1,28.299999999999997,54.6,5.8,30.0,0.1,-77.0,11.599999999999994,28.0,33.400000000000006,2463.054187192118,West
AZ,2023,1,27.700000000000003,54.6,5.9,30.4,0.1,-77.0,12.200000000000005,28.0,33.400000000000006,2493.7655860349128,West
CA,2018,0,21.200000000000003,22.40000000000001,4.2,10.5,0.1,-86.0,12.5,31.2,30.40000000000001,2341.9203747072597,West
CA,2019,0,21.299999999999997,29.575000000000003,4.2,10.5,0.1,-86.5,12.5,31.2,30.40000000000001,2341.9203747072597,West
CA,2020,0,25.5,36.75,4.1,10.5,0.1,-87.0,12.5,31.2,33.7,2252.252252252252,West
CA,2021,0,25.799999999999997,43.925,4.1,10.5,0.1,-87.0,12.5,31.2,33.900000000000006,2197.802197802198,West
CA,2022,0,26.200000000000003,51.1,4.1,10.5,0.1,-87.0,12.5,31.2,28.700000000000003,2358.490566037736,West
CA,2023,0,25.5,51.1,4.1,10.1,0.1,-87.0,12.5,31.2,28.700000000000003,2298.8505747126437,West
CO,2018,0,31.299999999999997,21.90000000000001,4.8,16.0,1.7,-85.0,8.5,28.2,32.400000000000006,1631.3213703099511,West
CO,2019,0,30.40000000000001,27.65000000000001,4.8,16.0,1.7,-85.0,9.200000000000005,24.3,32.400000000000006,1631.3213703099511,West
CO,2020,0,32.900000000000006,33.400000000000006,4.8,16.0,1.7,-85.0,11.5,25.5,32.8,1592.3566878980891,West
CO,2021,0,29.59999999999999,39.15,4.8,16.0,1.7,-85.5,7.799999999999997,22.6,32.5,1555.2099533437015,West
CO,2022,0,28.200000000000003,44.9,4.8,16.0,1.7,-86.0,8.400000000000006,24.0,31.200000000000003,1597.444089456869,West
CO,2023,0,30.09999999999999,44.9,4.5,17.0,1.7,-86.0,8.0,33.9,31.200000000000003,1577.2870662460568,West
CT,2018,0,16.299999999999997,17.799999999999997,4.3,15.6,0.0,-85.0,5.599999999999994,24.4,22.700000000000003,1499.2503748125937,Northeast
CT,2019,0,15.099999999999994,24.924999999999997,4.3,15.6,0.0,-86.0,4.799999999999997,24.2,22.700000000000003,1499.2503748125937,Northeast
CT,2020,0,15.599999999999994,32.05,4.4,15.6,0.0,-87.0,7.799999999999997,23.9,22.90000000000001,1457.725947521866,Northeast
CT,2021,0,15.200000000000005,39.175,4.5,15.6,0.0,-87.0,5.099999999999994,18.9,24.0,1416.43059490085,Northeast
CT,2022,0,16.900000000000006,46.3,4.4,15.6,0.0,-87.0,5.849999999999994,19.75,21.09999999999999,1600.0,Northeast
CT,2023,0,15.799999999999995,46.3,4.4,16.2,0.0,-87.0,6.599999999999994,20.6,21.09999999999999,1584.7860538827258,Northeast
DE,2018,0,28.299999999999997,18.799999999999997,6.2,18.9,0.0,-83.0,12.299999999999995,32.8,23.09999999999999,1953.125,South
DE,2019,0,24.5,27.25,6.2,18.9,0.0,-83.5,9.799999999999995,34.6,23.09999999999999,1953.125,South
DE,2020,0,22.0,35.7,5.8,18.9,0.0,-84.0,12.0,33.7,25.59999999999999,1953.125,South
DE,2021,0,22.0,44.15,6.2,18.9,0.0,-88.5,12.299999999999995,31.0,25.59999999999999,1912.0458891013384,South
DE,2022,0,23.200000000000003,52.6,6.2,18.9,0.0,-93.0,11.0,27.2,24.0,2169.1973969631235,South
DE,2023,0,21.40000000000001,52.6,6.8,18.9,0.0,-93.0,11.099999999999994,27.2,24.0,2159.8272138228945,South
FL,2018,1,28.90000000000001,21.09999999999999,6.1,24.1,0.9,-81.0,10.700000000000005,42.1,25.700000000000003,2506.2656641604012,South
FL,2019,1,28.90000000000001,28.39999999999999,6.1,24.1,0.9,-81.0,10.700000000000005,42.1,27.59999999999999,2506.2656641604012,South
