row_index,abortion_restricted,inadequate_prenatal_care,no_cancer_screen,infant_mortality,maternal_mortality,maternity_care_desert,maternity_practices_score,no_postpartum_visit,unintended_pregnancy,no_preventative,patients_per_doctor,region_Northeast,region_South,region_West
239,1.0,31.200000000000003,53.1,5.8,29.3,3.7,-80.0,13.5,53.0,33.8,2583.9793281653747,False,True,False
147,1.0,19.59999999999999,36.1,4.1,21.6,16.3,-78.0,7.599999999999994,23.7,29.200000000000003,2364.066193853428,False,False,False
96,0.0,16.599999999999994,19.09999999999999,4.0,16.4,0.0,-86.0,6.700000000000003,21.7,23.0,1579.778830963665,True,False,False
109,1.0,19.299999999999997,22.200000000000003,6.3,18.7,1.2,-77.5,11.299999999999995,29.0,22.799999999999997,1814.8820326678765,False,False,False
220,1.0,22.5,49.5,7.0,32.3,2.5,-80.0,11.400000000000006,37.0,28.700000000000003,2463.054187192118,False,True,False
229,1.0,25.5,25.875,6.7,41.1,6.4,-71.0,11.700000000000005,38.3,24.700000000000003,2469.135802469136,False,True,False
131,1.0,19.09999999999999,52.9,9.0,39.7,20.7,-82.0,11.900000000000006,36.6,21.799999999999997,3154.5741324921137,False,True,False
181,0.0,23.0,29.950000000000003,4.2,22.4,0.2,-82.5,9.400000000000006,24.0,21.700000000000003,1730.1038062283735,True,False,False
121,1.0,22.59999999999999,26.59999999999999,6.2,25.4,8.7,-77.0,11.400000000000006,33.4,27.200000000000003,2277.904328018223,False,False,False
108,1.0,19.09999999999999,15.400000000000006,6.3,19.1,1.2,-77.0,10.900000000000006,30.9,22.799999999999997,1814.8820326678765,False,False,False
16,1.0,28.299999999999997,54.6,5.8,30.0,0.1,-77.0,11.599999999999994,28.0,33.400000000000006,2463.054187192118,False,False,True
126,1.0,19.09999999999999,13.099999999999994,8.6,39.1,20.7,-73.0,11.700000000000005,44.6,25.200000000000003,3115.264797507788,False,True,False
12,1.0,29.09999999999999,20.59999999999999,5.6,30.0,0.1,-77.0,14.799999999999995,29.1,30.0,2409.6385542168673,False,False,True
251,0.0,20.5,49.0,6.0,33.4,6.9,-81.0,8.700000000000003,39.2,25.200000000000003,2207.505518763797,False,True,False
201,0.0,22.40000000000001,40.375,4.1,16.6,0.1,-87.0,9.200000000000005,18.2,30.90000000000001,1398.6013986013986,False,False,True
34,0.0,16.900000000000006,46.3,4.4,15.6,0.0,-87.0,5.849999999999994,19.75,21.09999999999999,1600.0,True,False,False
166,0.0,27.09999999999999,49.6,3.6,26.0,0.0,-85.0,10.099999999999994,20.8,27.0,2197.802197802198,True,False,False
