Abortion_Retricted,No (0),Yes (1),Delta,Delta (%)
Maternity Care Desert,1.2444444444444445,7.396428571428571,6.151984126984127,4.943558673469387
Maternal Mortality,19.491666666666667,27.521428571428572,8.029761904761905,0.4119587125145056
Infant Mortality,4.766666666666667,6.319642857142857,1.5529761904761905,0.3257992007992008
Patients Per Doctor,1882.5270422477734,2349.4139581407585,466.88691589298514,0.2480107352590873
No Postpartum Visit,8.780092592592592,9.682738095238095,0.9026455026455036,0.10280592068095376
Unintended Pregnancy,25.57638888888889,26.847916666666666,1.2715277777777771,0.04971490632636435
No Preventative,26.694444444444443,27.108928571428574,0.4144841269841315,0.01552698082354707
Inadequate Prenatal Care,23.36111111111111,23.464285714285715,0.10317460317460458,0.004416510956344548
No Cancer Screen,49.28333333333333,47.042857142857144,-2.240476190476187,-0.045461133388086314
Maternity Practices Score,-85.77777777777777,-79.17857142857143,6.599206349206341,-0.07693375277572159
