State,Year,Abortion_Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Unintended Pregnancy,No Preventative,Patients Per Doctor
AK,2022,1,34.7,46.2,6.9,24.9,6.8,-82.0,14.200000000000005,20.73333333333333,29.299999999999997,963.3911368015416
AK,2023,1,33.400000000000006,46.2,6.9,23.4,6.8,-82.0,13.799999999999995,18.7,29.299999999999997,950.5703422053232
AR,2022,1,26.700000000000003,53.3,8.0,38.3,13.8,-76.0,14.300000000000011,32.3,25.299999999999997,3355.7046979865772
AR,2023,1,25.799999999999997,53.3,8.0,35.3,13.8,-76.0,15.700000000000005,32.3,26.799999999999997,3289.4736842105262
AZ,2022,1,28.299999999999997,54.6,5.8,30.0,0.1,-77.0,11.599999999999994,28.0,33.400000000000006,2463.054187192118
AZ,2023,1,27.700000000000003,54.6,5.9,30.4,0.1,-77.0,12.200000000000005,28.0,33.400000000000006,2493.7655860349128
CA,2022,0,26.200000000000003,51.1,4.1,10.5,0.1,-87.0,12.5,31.2,28.700000000000003,2358.490566037736
CA,2023,0,25.5,51.1,4.1,10.1,0.1,-87.0,12.5,31.2,28.700000000000003,2298.8505747126437
CO,2022,0,28.200000000000003,44.9,4.8,16.0,1.7,-86.0,8.400000000000006,24.0,31.200000000000003,1597.444089456869
CO,2023,0,30.09999999999999,44.9,4.5,17.0,1.7,-86.0,8.0,33.9,31.200000000000003,1577.2870662460568
CT,2022,0,16.900000000000006,46.3,4.4,15.6,0.0,-87.0,5.849999999999994,19.75,21.09999999999999,1600.0
CT,2023,0,15.799999999999995,46.3,4.4,16.2,0.0,-87.0,6.599999999999994,20.6,21.09999999999999,1584.7860538827258
DE,2022,0,23.200000000000003,52.6,6.2,18.9,0.0,-93.0,11.0,27.2,24.0,2169.1973969631235
DE,2023,0,21.40000000000001,52.6,6.8,18.9,0.0,-93.0,11.099999999999994,27.2,24.0,2159.8272138228945
FL,2022,1,35.599999999999994,50.3,6.0,24.1,0.9,-83.0,10.633333333333326,37.9,27.299999999999997,2463.054187192118
FL,2023,1,34.0,50.3,6.0,24.5,0.9,-83.0,10.599999999999994,37.9,29.09999999999999,2444.987775061125
GA,2022,1,25.200000000000003,42.7,7.0,32.1,4.9,-78.0,10.0,18.95,28.59999999999999,2197.802197802198
GA,2023,1,24.40000000000001,42.7,7.0,30.4,4.9,-78.0,10.700000000000005,10.0,29.799999999999997,2145.9227467811156
HI,2022,1,37.0,53.3,5.3,16.1,0.0,-75.0,7.599999999999994,21.4,27.700000000000003,1650.16501650165
HI,2023,1,37.6,53.3,5.3,16.6,0.0,-75.0,8.0,24.2,27.700000000000003,1628.6644951140065
IA,2022,1,15.099999999999994,45.8,5.2,19.7,10.1,-73.0,8.099999999999994,20.4,23.200000000000003,2710.027100271003
IA,2023,1,15.900000000000006,45.8,5.2,19.7,10.1,-73.0,7.799999999999997,20.4,23.5,2652.519893899204
IL,2022,0,21.700000000000003,54.4,5.8,18.1,2.8,-80.0,7.099999999999994,27.5,23.5,2028.397565922921
IL,2023,0,21.90000000000001,54.4,5.8,20.0,2.8,-80.0,7.400000000000006,27.5,23.5,1996.007984031936
IN,2022,1,20.799999999999997,47.5,6.8,30.9,5.6,-83.0,7.5,7.1,22.90000000000001,2444.987775061125
IN,2023,1,20.799999999999997,47.5,6.8,31.4,5.6,-83.0,7.5,7.1,22.90000000000001,2415.458937198068
KS,2022,1,16.799999999999997,42.4,5.6,23.1,7.0,-82.0,7.900000000000006,29.0,26.90000000000001,2564.102564102564
KS,2023,1,16.700000000000003,42.4,5.5,23.1,7.0,-82.0,9.0,29.0,25.799999999999997,2439.0243902439024
KY,2022,1,20.700000000000003,47.8,6.0,34.6,15.6,-74.0,10.200000000000005,29.1,26.5,2538.0710659898477
KY,2023,1,21.0,47.8,6.2,31.4,15.6,-74.0,10.900000000000006,29.1,26.09999999999999,2518.8916876574303
LA,2022,1,25.40000000000001,42.3,7.3,37.3,5.4,-82.0,7.599999999999994,36.8,19.700000000000003,2557.544757033248
LA,2023,1,24.90000000000001,42.3,7.3,40.7,5.4,-82.0,4.299999999999997,36.8,19.700000000000003,2421.3075060532688
MA,2022,0,21.200000000000003,45.3,3.3,14.4,0.0,-88.0,7.200000000000003,17.7,20.799999999999997,1706.4846416382252
MA,2023,0,18.40000000000001,45.3,3.3,14.4,0.0,-88.0,6.900000000000006,17.7,20.799999999999997,1675.041876046901
MD,2022,0,27.0,48.4,5.8,21.4,0.4,-82.0,7.966666666666683,27.9,23.299999999999997,1785.7142857142858
MD,2023,0,25.5,48.4,5.8,21.4,0.4,-82.0,7.099999999999994,27.9,23.299999999999997,1757.469244288225
MI,2022,1,22.200000000000003,42.6,6.3,18.7,1.2,-80.0,9.799999999999995,24.8,21.200000000000003,1811.5942028985503
MI,2023,1,22.40000000000001,42.6,6.3,18.7,1.2,-80.0,10.5,21.4,21.200000000000003,1769.9115044247787
MN,2022,0,19.799999999999997,48.9,4.7,12.3,2.3,-81.0,7.450000000000003,20.65,28.09999999999999,1776.1989342806396
MN,2023,0,19.59999999999999,48.9,4.6,14.1,2.3,-81.0,7.099999999999994,21.0,28.09999999999999,1721.170395869191
MO,2022,1,21.799999999999997,47.3,6.3,25.4,8.7,-80.0,10.700000000000005,31.9,26.0,2364.066193853428
MO,2023,1,22.0,47.3,6.5,25.4,8.7,-80.0,10.900000000000006,22.4,26.0,2331.002331002331
MS,2022,1,19.09999999999999,52.9,9.0,39.7,20.7,-82.0,11.900000000000006,38.900000000000006,24.0,3164.5569620253164
MS,2023,1,19.09999999999999,52.9,9.0,39.7,20.7,-82.0,11.900000000000006,36.6,21.799999999999997,3154.5741324921137
MT,2022,1,20.700000000000003,43.9,4.8,30.5,7.3,-86.0,8.5,23.5,29.90000000000001,1805.0541516245487
MT,2023,1,21.200000000000003,43.9,5.1,32.5,7.3,-86.0,7.400000000000006,23.5,29.90000000000001,1811.5942028985503
NC,2022,1,24.0,39.8,6.8,26.7,2.7,-82.0,8.400000000000006,30.9,25.09999999999999,2141.327623126338
NC,2023,1,22.5,39.8,6.9,29.8,2.7,-82.0,8.400000000000006,30.9,25.09999999999999,2114.1649048625795
ND,2022,1,21.09999999999999,40.9,4.6,21.6,16.3,-79.0,6.799999999999997,20.7,26.299999999999997,2463.054187192118
ND,2023,1,20.799999999999997,40.9,4.6,24.1,16.3,-79.0,8.5,17.1,26.299999999999997,2409.6385542168673
NE,2022,1,20.09999999999999,45.8,5.7,23.7,7.2,-74.0,6.099999999999994,25.2,28.0,2463.054187192118
NE,2023,1,19.90000000000001,45.8,6.1,23.7,7.2,-74.0,7.0,19.8,28.0,2487.5621890547263
